# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-17 05:00:00;13.8;1000.7;88;11.8;3.2;;150;0;0
000AA;2022-11-17 05:30:00;13.7;1000.6;88;11.8;3.2;;192;;
000AA;2022-11-17 06:00:00;13.8;1001;87;11.7;3.2;;203;0;0
000AA;2022-11-18 21:30:00;6.9;1009.9;95;6.1;0;;243;;
000AA;2022-11-18 22:00:00;6.6;1009.8;96;6;0;;243;0;0
000AA;2022-11-18 22:30:00;6.6;1010.1;98;6.3;0;;243;;
000AA;2022-11-18 23:00:00;7.2;1010.3;98;6.9;0;;243;0;0
000AA;2022-11-18 23:30:00;7.1;1010.3;97;6.6;0;;196;;
000AA;2022-11-19 00:00:00;7.2;1010.3;98;6.9;0;;196;0;0
000AA;2022-11-19 00:30:00;7.2;1010.3;98;6.9;0;;196;;
000AA;2022-11-19 01:00:00;7.7;1010.2;98;7.4;0;;196;0;0
000AA;2022-11-19 01:30:00;7.9;1010.1;98;7.6;0;;196;;
000AA;2022-11-19 02:00:00;7.9;1010.2;98;7.6;0;;196;0;0
000AA;2022-11-19 02:30:00;7.9;1010.2;98;7.6;1.6;;196;;
000AA;2022-11-19 03:00:00;7.8;1010.3;98;7.5;0;;196;0;0
000AA;2022-11-19 03:30:00;7.9;1010.3;98;7.6;0;;196;;
000AA;2022-11-19 04:00:00;7.9;1010.2;98;7.6;0;;196;0;0.8
000AA;2022-11-19 04:30:00;7.9;1010.4;98;7.6;0;;196;;
000AA;2022-11-19 05:00:00;7.8;1010.7;98;7.5;0;;204;0;1.6
000AA;2022-11-19 05:30:00;7.9;1010.9;98;7.6;1.6;;206;;
000AA;2022-11-19 06:00:00;7.9;1011;98;7.6;1.6;;273;3.8;1.4
000AA;2022-11-19 06:30:00;7.8;1011.2;98;7.5;1.6;;286;;
000AA;2022-11-19 07:00:00;7.8;1011.4;98;7.5;1.6;;9;0;0.2
000AA;2022-11-19 07:30:00;7.9;1012;98;7.6;1.6;;327;;
000AA;2022-11-19 08:00:00;7.9;1012.3;98;7.6;3.2;;314;0;0
000AA;2022-11-19 08:30:00;8.2;1012.6;97;7.8;1.6;;313;;
000AA;2022-11-19 09:00:00;8.4;1012.9;96;7.8;1.6;;319;0.4;0.2
000AA;2022-11-19 09:30:00;8.7;1013.2;95;7.9;1.6;;317;;
000AA;2022-11-19 10:00:00;9.1;1013.4;92;7.9;3.2;;313;0;0
000AA;2022-11-19 10:30:00;9.2;1013.8;91;7.8;3.2;;296;;
000AA;2022-11-19 11:00:00;9.8;1013.9;87;7.7;4.8;;306;0;0
000AA;2022-11-19 11:30:00;9.9;1013.7;85;7.5;4.8;;350;;
000AA;2022-11-19 12:00:00;10.3;1013.5;84;7.7;4.8;;292;0;0
000AA;2022-11-19 12:30:00;10.9;1013.4;81;7.8;4.8;;312;;
